name ,id ,sex,type 
Pamela Reif,pr,1,ps
Puma,puma,n/a,ms
Joel Corry,jc,2,pm
Jason Derulo ,jd,2,pm
Dennis Reif,dr,2,bruder
Manuela Reif,mr ,1,mutter
Christopher Lund Nissen,cln,2,pm
Daniel Fox ,df,2,pl
David Puentez ,dp,2,pm
Douglas ,douglas,n/a,mb
Nakd,nakd,n/a,mf
Calzedonia,calzedonia,n/a,mf
Austin Mahone,am,2,pm
Naturally Pam,naturallyp,n/a,me
Ghd,ghd,n/a,mb
NYX Cosmetics,nyx,n/a,mb
Hej natural,hej,n/a,me
Mercedes Benz,mb,n/a,ma
ALNO kitchens,alno,n/a ,mh
The rainforest Company,rainforest ,n/a,me
intimissimi,intimissimi,n/a,mf
